"","moduleLabel","moduleColor","ensembl_id_TH","ensembl_id","entrez"
"SIRT4",0,"grey","ENSG00000089163.4","ENSG00000089163",23409
"SIRT5",0,"grey","ENSG00000124523.14","ENSG00000124523",23408
"SIRT6",0,"grey","ENSG00000077463.14","ENSG00000077463",51548
"SIRT7",0,"grey","ENSG00000187531.13","ENSG00000187531",51547
"SIT1",0,"grey","ENSG00000137078.8","ENSG00000137078",27240
"SIVA1",0,"grey","ENSG00000184990.12","ENSG00000184990",10572
"SIX1",0,"grey","ENSG00000126778.8","ENSG00000126778",6495
"SIX2",0,"grey","ENSG00000170577.7","ENSG00000170577",10736
"SIX3",0,"grey","ENSG00000138083.4","ENSG00000138083",6496
"SIX3-AS1",0,"grey","ENSG00000236502.1","ENSG00000236502",100506108
"SIX4",0,"grey","ENSG00000100625.8","ENSG00000100625",51804
"SIX5",0,"grey","ENSG00000177045.7","ENSG00000177045",147912
"SIX6",0,"grey","ENSG00000184302.6","ENSG00000184302",4990
"SKA1",4,"yellow","ENSG00000154839.9","ENSG00000154839",220134
"SKA2",4,"yellow","ENSG00000182628.12","ENSG00000182628",348235
"SKA3",4,"yellow","ENSG00000165480.15","ENSG00000165480",221150
"SKAP1",0,"grey","ENSG00000141293.15","ENSG00000141293",8631
"SKAP2",0,"grey","ENSG00000005020.12","ENSG00000005020",8935
"SKI",14,"cyan","ENSG00000157933.9","ENSG00000157933",6497
"SKIDA1",0,"grey","ENSG00000180592.16","ENSG00000180592",387640
"SKIL",17,"grey60","ENSG00000136603.13","ENSG00000136603",6498
"SKINTL",0,"grey","ENSG00000242267.6","ENSG00000242267",NA
"SKIV2L",0,"grey","ENSG00000204351.11","ENSG00000204351",6499
"SKIV2L2",24,"darkgrey","ENSG00000039123.15","ENSG00000039123",23517
"SKOR1",0,"grey","ENSG00000188779.10","ENSG00000188779",390598
"SKP1",0,"grey","ENSG00000113558.18","ENSG00000113558",6500
"SKP2",4,"yellow","ENSG00000145604.15","ENSG00000145604",6502
"SLA",0,"grey","ENSG00000155926.13","ENSG00000155926",6503
"SLA2",13,"salmon","ENSG00000101082.13","ENSG00000101082",84174
"SLAIN1",0,"grey","ENSG00000139737.21","ENSG00000139737",122060
