"","moduleLabel","moduleColor","ensembl_id_TH","ensembl_id","entrez"
"MELK",4,"yellow","ENSG00000165304.7","ENSG00000165304",9833
"MEMO1",6,"red","ENSG00000162959.13","ENSG00000162959",51072
"METAP1",6,"red","ENSG00000164024.11","ENSG00000164024",23173
"METAP2",4,"yellow","ENSG00000111142.13","ENSG00000111142",10988
"METTL14",7,"black","ENSG00000145388.14","ENSG00000145388",57721
"METTL15",6,"red","ENSG00000169519.19","ENSG00000169519",196074
"METTL2A",4,"yellow","ENSG00000087995.15","ENSG00000087995",339175
"MEX3C",6,"red","ENSG00000176624.10","ENSG00000176624",51320
"MFAP1",4,"yellow","ENSG00000140259.6","ENSG00000140259",4236
"MFAP3",17,"grey60","ENSG00000037749.11","ENSG00000037749",4238
"MFN1",6,"red","ENSG00000171109.18","ENSG00000171109",55669
"MFSD9",6,"red","ENSG00000135953.10","ENSG00000135953",84804
"MGA",6,"red","ENSG00000174197.16","ENSG00000174197",23269
"MGAT2",17,"grey60","ENSG00000168282.5","ENSG00000168282",4247
"MGRN1",7,"black","ENSG00000102858.12","ENSG00000102858",23295
"MIB1",6,"red","ENSG00000101752.11","ENSG00000101752",57534
"MICAL3",17,"grey60","ENSG00000243156.7","ENSG00000243156",57553
"MIEF1",6,"red","ENSG00000100335.12","ENSG00000100335",54471
"MIER1",17,"grey60","ENSG00000198160.14","ENSG00000198160",57708
"MIER3",6,"red","ENSG00000155545.19","ENSG00000155545",166968
"MIOS",17,"grey60","ENSG00000164654.15","ENSG00000164654",54468
"MIS12",6,"red","ENSG00000167842.15","ENSG00000167842",79003
"MIS18BP1",6,"red","ENSG00000129534.13","ENSG00000129534",55320
"MKI67",4,"yellow","ENSG00000148773.12","ENSG00000148773",4288
"MLEC",17,"grey60","ENSG00000110917.7","ENSG00000110917",9761
"MLKL",27,"white","ENSG00000168404.12","ENSG00000168404",197259
"MLLT10",18,"lightgreen","ENSG00000078403.16","ENSG00000078403",8028
"MMACHC",4,"yellow","ENSG00000132763.14","ENSG00000132763",25974
"MMADHC",6,"red","ENSG00000168288.12","ENSG00000168288",27249
"MMGT1",17,"grey60","ENSG00000169446.5","ENSG00000169446",93380
"MMP19",3,"brown","ENSG00000123342.15","ENSG00000123342",4327
"MMRN2",22,"darkgreen","ENSG00000173269.13","ENSG00000173269",79812
"MMS22L",4,"yellow","ENSG00000146263.11","ENSG00000146263",253714
"MND1",4,"yellow","ENSG00000121211.7","ENSG00000121211",84057
"MNDA",3,"brown","ENSG00000163563.7","ENSG00000163563",4332
"MNT",6,"red","ENSG00000070444.14","ENSG00000070444",4335
"MOB1A",6,"red","ENSG00000114978.17","ENSG00000114978",55233
"MOB1B",6,"red","ENSG00000173542.8","ENSG00000173542",92597
"MON1B",17,"grey60","ENSG00000103111.14","ENSG00000103111",22879
"MON2",6,"red","ENSG00000061987.14","ENSG00000061987",23041
"MORF4L2-AS1",6,"red","ENSG00000231154.1","ENSG00000231154",NA
"MOSPD2",17,"grey60","ENSG00000130150.11","ENSG00000130150",158747
"MPEG1",3,"brown","ENSG00000197629.5","ENSG00000197629",219972
"MPHOSPH10",18,"lightgreen","ENSG00000124383.8","ENSG00000124383",10199
"MPHOSPH9",4,"yellow","ENSG00000051825.14","ENSG00000051825",10198
"MPP1",3,"brown","ENSG00000130830.14","ENSG00000130830",4354
"MPP5",17,"grey60","ENSG00000072415.8","ENSG00000072415",64398
"MR1",14,"cyan","ENSG00000153029.14","ENSG00000153029",3140
"MRE11A",6,"red","ENSG00000020922.12","ENSG00000020922",4361
"MRPL19",6,"red","ENSG00000115364.13","ENSG00000115364",9801
"MRPL30",6,"red","ENSG00000185414.19","ENSG00000185414",51263
"MRPL42",4,"yellow","ENSG00000198015.12","ENSG00000198015",28977
"MRPL50",6,"red","ENSG00000136897.7","ENSG00000136897",54534
"MRPS35",4,"yellow","ENSG00000061794.12","ENSG00000061794",60488
"MRS2",6,"red","ENSG00000124532.14","ENSG00000124532",57380
"MS4A14",3,"brown","ENSG00000166928.10","ENSG00000166928",84689
"MS4A6A",3,"brown","ENSG00000110077.14","ENSG00000110077",64231
"MS4A7",3,"brown","ENSG00000166927.12","ENSG00000166927",58475
"MSANTD4",17,"grey60","ENSG00000170903.10","ENSG00000170903",84437
"MSH2",6,"red","ENSG00000095002.12","ENSG00000095002",4436
"MSH3",6,"red","ENSG00000113318.9","ENSG00000113318",4437
"MSH6",4,"yellow","ENSG00000116062.14","ENSG00000116062",2956
"MSL1",17,"grey60","ENSG00000188895.11","ENSG00000188895",339287
"MSL2",17,"grey60","ENSG00000174579.3","ENSG00000174579",55167
